[2023-11-13T15:25:13.559Z] : [warn]: You opened a file that contained UI elements to interact with. But Studio Pro can't find the elements. This happens because the .neek file can't find the .elm file associated with the workflow. Please, put the .elm file to the corresponding elements folder in the same folder where the workflow is placed or select the elements manually again. Reopen the workflow


  ==========================================
  Studio Pro version: 9.6.8
  Started at: 11/13/2023, 9:25:14 AM
  ==========================================
  

[2023-11-13T15:29:37.908Z] : [warn]: There is a small amount of free memory (RAM) left, 90.8% of RAM is being used (7211 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T15:31:07.937Z] : [warn]: There is a small amount of free memory (RAM) left, 91.04% of RAM is being used (7230 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T15:41:37.907Z] : [warn]: There is a small amount of free memory (RAM) left, 90.09% of RAM is being used (7155 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T15:51:07.870Z] : [warn]: There is a small amount of free memory (RAM) left, 91.22% of RAM is being used (7245 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T16:16:06.204Z] : [warn]: There is a small amount of free memory (RAM) left, 90.93% of RAM is being used (7222 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T16:20:06.168Z] : [warn]: There is a small amount of free memory (RAM) left, 90.19% of RAM is being used (7163 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T16:21:06.179Z] : [warn]: There is a small amount of free memory (RAM) left, 92.68% of RAM is being used (7361 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T16:22:06.170Z] : [warn]: There is a small amount of free memory (RAM) left, 90.59% of RAM is being used (7195 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T16:24:06.167Z] : [warn]: There is a small amount of free memory (RAM) left, 92.28% of RAM is being used (7329 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T16:27:06.189Z] : [warn]: There is a small amount of free memory (RAM) left, 91.51% of RAM is being used (7268 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T16:30:06.198Z] : [warn]: There is a small amount of free memory (RAM) left, 92.9% of RAM is being used (7378 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T16:33:06.202Z] : [warn]: There is a small amount of free memory (RAM) left, 91.04% of RAM is being used (7230 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

